Library_Name	Run	Sample_Name	geo_loc_name
88	SRR1945435	88	France
108	SRR1945436	108	France
139	SRR1945437	139	France
159	SRR1945438	159	France
265	SRR1945439	265	France
350	SRR1945440	350	France
351	SRR1945441	351	France
403	SRR1945442	403	Czech Republic
410	SRR1945443	410	Czech Republic
424	SRR1945444	424	Czech Republic
428	SRR1945445	428	Czech Republic
430	SRR1945446	430	Austria
470	SRR1945447	470	USA
476	SRR1945448	476	USA
484	SRR1945449	484	USA
504	SRR1945450	504	USA
506	SRR1945451	506	USA
531	SRR1945452	531	USA
544	SRR1945453	544	USA
546	SRR1945454	546	USA
628	SRR1945455	628	USA
630	SRR1945456	630	USA
680	SRR1945457	680	USA
681	SRR1945458	681	USA
685	SRR1945459	685	USA
687	SRR1945460	687	USA
728	SRR1945461	728	USA
742	SRR1945462	742	USA
763	SRR1945463	763	Kyrgyzstan
765	SRR1945464	SAMEA3168179	
766	SRR1945465	766	Kyrgyzstan
768	SRR1945466	768	Kyrgyzstan
772	SRR1945467	772	Tajikistan
801	SRR1945468	801	USA
853	SRR1945469	853	USA
854	SRR1945470	854	USA
867	SRR1945471	867	USA
868	SRR1945472	868	USA
870	SRR1945473	870	USA
915	SRR1945474	915	USA
932	SRR1945475	932	USA
991	SRR1945476	991	Sweden
992	SRR1945477	SAMEA3168188	
997	SRR1945478	SAMEA3168193	
1002	SRR1945479	1002	Sweden
1006	SRR1945480	1006	Sweden
1061	SRR1945481	1061	Sweden
1062	SRR1945482	1062	Sweden
1063	SRR1945483	1063	Sweden
1066	SRR1945484	1066	Sweden
1070	SRR1945485	1070	Sweden
1158	SRR1945486	1158	Sweden
1166	SRR1945487	SAMEA3168092	
1254	SRR1945488	1254	Sweden
1257	SRR1945489	1257	Sweden
1313	SRR1945490	1313	Sweden
1317	SRR1945491	1317	Sweden
1552	SRR1945492	1552	Sweden
1612	SRR1945493	1612	USA
1622	SRR1945494	1622	USA
1651	SRR1945495	1651	USA
1652	SRR1945496	1652	USA
1676	SRR1945497	1676	USA
1684	SRR1945498	1684	USA
1739	SRR1945499	1739	USA
1741	SRR1945500	1741	USA
1756	SRR1945501	1756	USA
1757	SRR1945502	1757	USA
1793	SRR1945503	1793	USA
1797	SRR1945504	1797	USA
1819	SRR1945505	1819	USA
1820	SRR1945506	1820	USA
1829	SRR1945507	1829	USA
1834	SRR1945508	1834	USA
1835	SRR1945509	1835	USA
1851	SRR1945510	1851	USA
1852	SRR1945511	1852	USA
1853	SRR1945512	1853	USA
1872	SRR1945513	1872	USA
1890	SRR1945514	1890	USA
1925	SRR1945515	1925	USA
1942	SRR1945516	1942	USA
1943	SRR1945517	1943	USA
1954	SRR1945518	1954	USA
2016	SRR1945519	2016	USA
2017	SRR1945520	2017	USA
2031	SRR1945521	2031	USA
2053	SRR1945522	2053	USA
2057	SRR1945523	2057	USA
2081	SRR1945524	2081	USA
2091	SRR1945525	2091	USA
2106	SRR1945526	2106	USA
2108	SRR1945527	2108	USA
2141	SRR1945528	2141	USA
2159	SRR1945529	2159	USA
2166	SRR1945530	2166	USA
2171	SRR1945531	2171	USA
2191	SRR1945532	2191	USA
2202	SRR1945533	2202	USA
2212	SRR1945534	2212	USA
2239	SRR1945535	2239	USA
2240	SRR1945536	2240	USA
2276	SRR1945537	2276	USA
2278	SRR1945538	2278	USA
2285	SRR1945539	2285	USA
2286	SRR1945540	2286	USA
2317	SRR1945541	2317	USA
2370	SRR1945542	2370	USA
2412	SRR1945543	2412	USA
4779	SRR1945544	4779	United Kingdom
4807	SRR1945545	4807	United Kingdom
4826	SRR1945546	4826	United Kingdom
4840	SRR1945547	4840	United Kingdom
4857	SRR1945548	4857	United Kingdom
4884	SRR1945549	4884	United Kingdom
4900	SRR1945550	4900	United Kingdom
4939	SRR1945551	4939	United Kingdom
4958	SRR1945552	4958	United Kingdom
5023	SRR1945553	5023	United Kingdom
5104	SRR1945554	5104	United Kingdom
5151	SRR1945555	5151	United Kingdom
5165	SRR1945556	5165	United Kingdom
5210	SRR1945557	5210	United Kingdom
5236	SRR1945558	5236	United Kingdom
5249	SRR1945559	5249	United Kingdom
5253	SRR1945560	5253	United Kingdom
5276	SRR1945561	5276	United Kingdom
5279	SRR1945562	5279	United Kingdom
5349	SRR1945563	5349	United Kingdom
5353	SRR1945564	5353	United Kingdom
5395	SRR1945565	5395	United Kingdom
5486	SRR1945566	5486	United Kingdom
5577	SRR1945567	5577	United Kingdom
5644	SRR1945568	5644	United Kingdom
5651	SRR1945569	5651	United Kingdom
5717	SRR1945570	5717	United Kingdom
5718	SRR1945571	5718	United Kingdom
5720	SRR1945572	5720	United Kingdom
5726	SRR1945573	5726	United Kingdom
5741	SRR1945574	5741	United Kingdom
5748	SRR1945575	5748	United Kingdom
5757	SRR1945576	5757	United Kingdom
5768	SRR1945577	5768	United Kingdom
5772	SRR1945578	5772	United Kingdom
5776	SRR1945579	5776	United Kingdom
5779	SRR1945580	5779	United Kingdom
5784	SRR1945581	5784	United Kingdom
5798	SRR1945582	5798	United Kingdom
5800	SRR1945583	5800	United Kingdom
5811	SRR1945584	5811	United Kingdom
5822	SRR1945585	5822	United Kingdom
5830	SRR1945586	5830	Sweden
5831	SRR1945587	5831	Sweden
5832	SRR1945588	5832	Sweden
5836	SRR1945589	5836	Sweden
5837	SRR1945590	5837	Czech Republic
5856	SRR1945591	5856	Sweden
5860	SRR1945592	5860	Sweden
5865	SRR1945593	5865	Sweden
5867	SRR1945594	5867	Sweden
5874	SRR1945595	5874	Czech Republic
5890	SRR1945596	5890	Czech Republic
5893	SRR1945597	5893	Czech Republic
5907	SRR1945598	5907	Czech Republic
5921	SRR1945599	5921	Czech Republic
5950	SRR1945600	5950	Czech Republic
5984	SRR1945601	5984	Czech Republic
5993	SRR1945602	5993	Czech Republic
6008	SRR1945603	6008	Czech Republic
6009	SRR1945604	6009	Sweden
6010	SRR1945605	6010	Sweden
6011	SRR1945606	6011	Sweden
6012	SRR1945607	6012	Sweden
6013	SRR1945608	6013	Sweden
6016	SRR1945609	6016	Sweden
6017	SRR1945610	6017	Sweden
6019	SRR1945611	6019	Sweden
6020	SRR1945612	6020	Sweden
6021	SRR1945613	6021	Sweden
6022	SRR1945614	6022	Sweden
6023	SRR1945615	6023	Sweden
6024	SRR1945616	6024	Sweden
6025	SRR1945617	6025	Sweden
6030	SRR1945618	6030	Sweden
6034	SRR1945619	6034	Sweden
6035	SRR1945620	6035	Sweden
6036	SRR1945621	6036	Sweden
6038	SRR1945622	6038	Sweden
6039	SRR1945623	6039	Sweden
6040	SRR1945624	6040	Sweden
6041	SRR1945625	6041	Sweden
6042	SRR1945626	6042	Sweden
