AvgSpotLen	BioSample	BioSampleModel	Experiment	Instrument	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	age	dev_stage	ecotype	geo_loc_name	tissue	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	Platform	SRA_Study
200	SAMN03326279	Plant	SRX972118	Illumina HiSeq 2000	88	2015-03-30	2865	2065	Arabidopsis thaliana	2016-05-06	SRR1945435	SRS887191	88	not applicable	not applicable	88	France	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326280	Plant	SRX972119	Illumina HiSeq 2000	108	2015-03-30	4881	3475	Arabidopsis thaliana	2016-05-06	SRR1945436	SRS888312	108	not applicable	not applicable	108	France	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326281	Plant	SRX972120	Illumina HiSeq 2000	139	2015-03-30	3608	2580	Arabidopsis thaliana	2016-05-06	SRR1945437	SRS888311	139	not applicable	not applicable	139	France	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326282	Plant	SRX972121	Illumina HiSeq 2000	159	2015-03-30	3953	2822	Arabidopsis thaliana	2016-05-06	SRR1945438	SRS888310	159	not applicable	not applicable	159	France	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326283	Plant	SRX972122	Illumina HiSeq 2000	265	2015-03-30	5256	3750	Arabidopsis thaliana	2016-05-06	SRR1945439	SRS888309	265	not applicable	not applicable	265	France	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326284	Plant	SRX972123	Illumina HiSeq 2000	350	2015-03-30	4110	2930	Arabidopsis thaliana	2016-05-06	SRR1945440	SRS888308	350	not applicable	not applicable	350	France	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326285	Plant	SRX972124	Illumina HiSeq 2000	351	2015-03-30	5422	3866	Arabidopsis thaliana	2016-05-06	SRR1945441	SRS888305	351	not applicable	not applicable	351	France	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326286	Plant	SRX972125	Illumina HiSeq 2000	403	2015-03-30	4645	3320	Arabidopsis thaliana	2016-05-06	SRR1945442	SRS888304	403	not applicable	not applicable	403	Czech Republic	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326287	Plant	SRX972126	Illumina HiSeq 2000	410	2015-03-30	3587	2554	Arabidopsis thaliana	2016-05-06	SRR1945443	SRS888306	410	not applicable	not applicable	410	Czech Republic	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326288	Plant	SRX972127	Illumina HiSeq 2000	424	2015-03-30	4032	2875	Arabidopsis thaliana	2016-05-06	SRR1945444	SRS888307	424	not applicable	not applicable	424	Czech Republic	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
200	SAMN03326289	Plant	SRX972128	Illumina HiSeq 2000	428	2015-03-30	3546	2530	Arabidopsis thaliana	2016-05-06	SRR1945445	SRS888303	428	not applicable	not applicable	428	Czech Republic	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
202	SAMN03326290	Plant	SRX972129	Illumina HiSeq 2000	430	2015-03-30	1918	1259	Arabidopsis thaliana	2016-05-06	SRR1945446	SRS888301	430	not applicable	not applicable	430	Austria	leaf	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
95	SAMN03326291	Plant	SRX972130	Illumina HiSeq 2000	470	2015-03-31	6398	4401	Arabidopsis thaliana	2016-05-06	SRR1945447	SRS888300	470	not applicable	not applicable	470	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
96	SAMN03326292	Plant	SRX972131	Illumina HiSeq 2000	476	2015-03-31	5842	3870	Arabidopsis thaliana	2016-05-06	SRR1945448	SRS888299	476	not applicable	not applicable	476	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
99	SAMN03326293	Plant	SRX972132	Illumina HiSeq 2000	484	2015-03-31	3909	1870	Arabidopsis thaliana	2016-05-06	SRR1945449	SRS888302	484	not applicable	not applicable	484	USA	leaf/rosette	WGS	PRJNA273563	MPI-DB	public	sra	ncbi	0	PAIRED	RANDOM	GENOMIC	ILLUMINA	SRP056687
